id,trade_px,trade_volume,b1,b2,b3,b4,b5,a1,a2,a3,a4,a5,bq1,bq2,bq3,bq4,bq5,aq1,aq2,aq3,aq4,aq5,order_date_time,trades_date_time,update_type
92,1191.3,0.23,1191.29,1191.21,1190.91,1190.7,1190.59,1191.3,1192.3,1193.5,1195,1195.7,4.13751,1.03409,2.23409,1.105,1.2,0.885,1.8,1.98,1.97,1.463,2017-04-07D00:14:26.288140000,2017-04-07D00:11:38.784439000,1
93,1191.3,0.23,1191.29,1191.21,1190.91,1190.7,1190.59,1191.3,1192.3,1193.5,1194.59,1195,4.13751,1.03409,2.23409,1.105,1.2,0.885,1.8,1.98,4.34,1.97,2017-04-07D00:14:27.755244000,2017-04-07D00:11:38.784439000,1
94,1191.3,0.23,1191.29,1191.21,1190.91,1190.7,1190.59,1191.3,1192.3,1193.5,1195,1195.7,4.13751,1.03409,2.23409,1.105,1.2,0.885,1.8,1.98,1.97,1.463,2017-04-07D00:14:35.619594000,2017-04-07D00:11:38.784439000,1
95,1191.3,0.23,1191.29,1191.21,1190.91,1190.7,1190.63,1191.3,1192.3,1193.5,1195,1195.63,3.10367,1.03409,2.23409,1.105,1.03486,0.885,1.8,1.98,1.97,1.03486,2017-04-07D00:14:57.518672000,2017-04-07D00:11:38.784439000,1
96,1191.3,0.23,1191.29,1191.21,1190.91,1190.7,1190.63,1191.3,1192.3,1193.5,1195,1195.37,2.06958,1.03409,2.23409,1.105,1.03486,0.885,1.8,1.98,1.97,1.03486,2017-04-07D00:15:01.270256000,2017-04-07D00:11:38.784439000,1
97,1191.3,0.23,1190.91,1190.89,1190.7,1190.63,1190.59,1191.3,1192.3,1193.5,1195,1195.37,2.23409,1.03543,1.105,1.03486,2.23543,0.885,1.8,1.98,1.97,1.03486,2017-04-07D00:15:05.793279000,2017-04-07D00:11:38.784439000,1
98,1191.3,0.23,1190.91,1190.89,1190.7,1190.63,1190.59,1191.3,1192.3,1193.5,1195,1195.37,1.2,1.03543,1.105,1.03486,2.23543,0.885,1.8,1.98,1.97,1.03486,2017-04-07D00:15:17.157297000,2017-04-07D00:11:38.784439000,1
99,1191.3,0.23,1190.91,1190.89,1190.7,1190.63,1190.59,1191.3,1192.3,1193.5,1195,1195.09,1.2,1.03543,1.105,1.03486,2.23543,0.885,1.8,1.98,1.97,4.63,2017-04-07D00:15:31.070204000,2017-04-07D00:11:38.784439000,1
100,1191.3,0.23,1190.91,1190.89,1190.7,1190.63,1190.59,1191.3,1192.3,1193.5,1194.99,1195,1.2,1.03543,1.105,1.03486,2.23543,0.885,1.8,1.98,4.85,1.97,2017-04-07D00:15:42.169128000,2017-04-07D00:11:38.784439000,1
101,1191.3,0.23,1190.91,1190.89,1190.7,1190.63,1190.59,1191.3,1192.3,1193.5,1195,1195.37,1.2,1.03543,1.105,1.03486,2.23543,0.885,1.8,1.98,1.97,1.03486,2017-04-07D00:15:43.198585000,2017-04-07D00:11:38.784439000,1
102,1191.3,0.23,1190.91,1190.89,1190.7,1190.63,1190.59,1191.3,1192.3,1193.5,1195,1195.19,1.2,1.03543,1.105,1.03486,2.23543,0.885,1.8,1.98,1.97,4.5,2017-04-07D00:15:56.287429000,2017-04-07D00:11:38.784439000,1
103,1191.3,0.23,1190.91,1190.89,1190.7,1190.63,1190.59,1191.3,1192.3,1193.5,1195,1195.37,1.2,1.03543,1.105,1.03486,2.23543,0.885,1.8,1.98,1.97,1.03486,2017-04-07D00:16:02.919637000,2017-04-07D00:11:38.784439000,1
104,1191.3,0.23,1190.91,1190.89,1190.7,1190.63,1190.59,1191.3,1192.3,1193.5,1194.09,1195,1.2,1.03543,1.105,1.03486,2.23543,0.885,1.8,1.98,4.19,1.97,2017-04-07D00:16:05.052825000,2017-04-07D00:11:38.784439000,1
105,1191.3,0.23,1190.91,1190.8,1190.7,1190.59,1190.38,1191.3,1192.3,1193.5,1194.09,1195,1.2,1.03551,1.105,2.23543,1.03486,0.885,1.8,1.98,4.19,1.97,2017-04-07D00:16:37.747779000,2017-04-07D00:11:38.784439000,1
